=== 4-Stage Progressive Fusion Hard-Mining Training Log ===
Epoch 001 [STAGE-1 (Global-Train) | G-LR: 0.000300 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 3.6471 | Train: 6.98% | ★Test: 9.74% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 031 [STAGE-1 (Global-Train) | G-LR: 0.000104 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7152 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 032 [STAGE-1 (Global-Train) | G-LR: 0.000095 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7145 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 033 [STAGE-1 (Global-Train) | G-LR: 0.000086 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7133 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 034 [STAGE-1 (Global-Train) | G-LR: 0.000078 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7123 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 035 [STAGE-1 (Global-Train) | G-LR: 0.000070 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7121 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 036 [STAGE-1 (Global-Train) | G-LR: 0.000062 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7113 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 037 [STAGE-1 (Global-Train) | G-LR: 0.000054 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7105 | Train: 100.00% | ★Test: 76.47% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 038 [STAGE-1 (Global-Train) | G-LR: 0.000047 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7104 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 039 [STAGE-1 (Global-Train) | G-LR: 0.000041 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7099 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 040 [STAGE-1 (Global-Train) | G-LR: 0.000034 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7096 | Train: 100.00% | ★Test: 76.29% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 041 [STAGE-1 (Global-Train) | G-LR: 0.000029 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7092 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 042 [STAGE-1 (Global-Train) | G-LR: 0.000023 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7089 | Train: 100.00% | ★Test: 77.21% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 043 [STAGE-1 (Global-Train) | G-LR: 0.000019 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7090 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 044 [STAGE-1 (Global-Train) | G-LR: 0.000014 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7086 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 045 [STAGE-1 (Global-Train) | G-LR: 0.000011 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7083 | Train: 100.00% | ★Test: 77.39% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 046 [STAGE-1 (Global-Train) | G-LR: 0.000007 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7084 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 047 [STAGE-1 (Global-Train) | G-LR: 0.000005 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7084 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 048 [STAGE-1 (Global-Train) | G-LR: 0.000003 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7082 | Train: 100.00% | ★Test: 76.65% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 049 [STAGE-1 (Global-Train) | G-LR: 0.000001 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7083 | Train: 100.00% | ★Test: 77.57% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 050 [STAGE-1 (Global-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7082 | Train: 100.00% | ★Test: 77.02% | [G-Gate_Avg: 1.000 / L-Gate_Avg: 0.000]
Epoch 051 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 3.6536 | Train: 7.77% | ★Test: 6.80% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 052 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000300 | Gt-LR: 0.000000] -> Loss: 3.2891 | Train: 12.95% | ★Test: 12.32% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 053 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000299 | Gt-LR: 0.000000] -> Loss: 3.0161 | Train: 20.05% | ★Test: 18.75% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 054 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000297 | Gt-LR: 0.000000] -> Loss: 2.7433 | Train: 27.70% | ★Test: 13.05% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 055 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000295 | Gt-LR: 0.000000] -> Loss: 2.6023 | Train: 32.83% | ★Test: 18.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 056 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000293 | Gt-LR: 0.000000] -> Loss: 2.3885 | Train: 40.99% | ★Test: 13.60% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 057 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000289 | Gt-LR: 0.000000] -> Loss: 2.2472 | Train: 47.86% | ★Test: 28.68% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 058 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000286 | Gt-LR: 0.000000] -> Loss: 2.0333 | Train: 55.80% | ★Test: 29.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 059 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000281 | Gt-LR: 0.000000] -> Loss: 1.8831 | Train: 62.44% | ★Test: 18.93% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 060 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000277 | Gt-LR: 0.000000] -> Loss: 1.6706 | Train: 71.73% | ★Test: 21.51% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 061 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000271 | Gt-LR: 0.000000] -> Loss: 1.5337 | Train: 76.91% | ★Test: 26.29% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 062 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000266 | Gt-LR: 0.000000] -> Loss: 1.3600 | Train: 84.23% | ★Test: 29.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 063 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000259 | Gt-LR: 0.000000] -> Loss: 1.2213 | Train: 91.55% | ★Test: 28.31% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 064 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000253 | Gt-LR: 0.000000] -> Loss: 1.1154 | Train: 94.09% | ★Test: 35.11% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 065 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000246 | Gt-LR: 0.000000] -> Loss: 1.0624 | Train: 94.99% | ★Test: 31.80% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 066 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000238 | Gt-LR: 0.000000] -> Loss: 1.0049 | Train: 97.18% | ★Test: 38.60% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 067 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000230 | Gt-LR: 0.000000] -> Loss: 0.9449 | Train: 98.59% | ★Test: 40.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 068 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000222 | Gt-LR: 0.000000] -> Loss: 0.8933 | Train: 99.55% | ★Test: 38.24% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 069 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000214 | Gt-LR: 0.000000] -> Loss: 0.8642 | Train: 99.72% | ★Test: 36.40% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 070 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000205 | Gt-LR: 0.000000] -> Loss: 0.8448 | Train: 99.77% | ★Test: 38.05% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 071 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000196 | Gt-LR: 0.000000] -> Loss: 0.8281 | Train: 99.94% | ★Test: 37.87% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 072 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000187 | Gt-LR: 0.000000] -> Loss: 0.8123 | Train: 99.94% | ★Test: 37.50% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 073 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000178 | Gt-LR: 0.000000] -> Loss: 0.8022 | Train: 100.00% | ★Test: 39.34% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 074 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000169 | Gt-LR: 0.000000] -> Loss: 0.7922 | Train: 99.94% | ★Test: 37.13% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 075 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000159 | Gt-LR: 0.000000] -> Loss: 0.7857 | Train: 100.00% | ★Test: 39.89% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 076 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000150 | Gt-LR: 0.000000] -> Loss: 0.7796 | Train: 100.00% | ★Test: 35.48% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 077 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000141 | Gt-LR: 0.000000] -> Loss: 0.7756 | Train: 100.00% | ★Test: 36.40% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 078 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000131 | Gt-LR: 0.000000] -> Loss: 0.7643 | Train: 100.00% | ★Test: 38.97% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 079 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000122 | Gt-LR: 0.000000] -> Loss: 0.7617 | Train: 100.00% | ★Test: 38.60% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 080 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000113 | Gt-LR: 0.000000] -> Loss: 0.7598 | Train: 100.00% | ★Test: 38.79% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 081 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000104 | Gt-LR: 0.000000] -> Loss: 0.7528 | Train: 100.00% | ★Test: 38.42% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 082 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000000] -> Loss: 0.7504 | Train: 100.00% | ★Test: 40.07% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 083 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000000] -> Loss: 0.7465 | Train: 100.00% | ★Test: 38.97% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 084 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000078 | Gt-LR: 0.000000] -> Loss: 0.7435 | Train: 100.00% | ★Test: 38.60% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 085 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000070 | Gt-LR: 0.000000] -> Loss: 0.7437 | Train: 100.00% | ★Test: 42.65% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 086 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000000] -> Loss: 0.7372 | Train: 100.00% | ★Test: 40.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 087 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000054 | Gt-LR: 0.000000] -> Loss: 0.7387 | Train: 100.00% | ★Test: 39.89% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 088 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000000] -> Loss: 0.7365 | Train: 100.00% | ★Test: 42.28% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 089 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000000] -> Loss: 0.7361 | Train: 100.00% | ★Test: 42.28% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 090 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000034 | Gt-LR: 0.000000] -> Loss: 0.7330 | Train: 100.00% | ★Test: 39.15% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 091 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000000] -> Loss: 0.7314 | Train: 100.00% | ★Test: 40.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 092 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000000] -> Loss: 0.7323 | Train: 100.00% | ★Test: 40.81% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 093 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000019 | Gt-LR: 0.000000] -> Loss: 0.7306 | Train: 100.00% | ★Test: 40.99% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 094 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000000] -> Loss: 0.7291 | Train: 100.00% | ★Test: 40.26% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 095 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000000] -> Loss: 0.7295 | Train: 100.00% | ★Test: 40.44% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 096 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000007 | Gt-LR: 0.000000] -> Loss: 0.7287 | Train: 100.00% | ★Test: 40.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 097 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000000] -> Loss: 0.7288 | Train: 100.00% | ★Test: 41.18% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 098 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000003 | Gt-LR: 0.000000] -> Loss: 0.7283 | Train: 100.00% | ★Test: 41.18% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 099 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000000] -> Loss: 0.7277 | Train: 100.00% | ★Test: 40.26% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 100 [STAGE-2 (Local-HardMining) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7274 | Train: 100.00% | ★Test: 40.62% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 101 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.001000] -> Loss: 0.7131 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.675 / L-Gate_Avg: 0.325]
Epoch 102 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000999] -> Loss: 0.7122 | Train: 100.00% | ★Test: 75.55% | [G-Gate_Avg: 0.694 / L-Gate_Avg: 0.306]
Epoch 103 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000996] -> Loss: 0.7118 | Train: 100.00% | ★Test: 73.90% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 104 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000991] -> Loss: 0.7112 | Train: 100.00% | ★Test: 75.00% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 105 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000984] -> Loss: 0.7109 | Train: 100.00% | ★Test: 73.90% | [G-Gate_Avg: 0.649 / L-Gate_Avg: 0.351]
Epoch 106 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000976] -> Loss: 0.7109 | Train: 100.00% | ★Test: 75.74% | [G-Gate_Avg: 0.646 / L-Gate_Avg: 0.354]
Epoch 107 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000965] -> Loss: 0.7107 | Train: 100.00% | ★Test: 75.18% | [G-Gate_Avg: 0.643 / L-Gate_Avg: 0.357]
Epoch 108 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000952] -> Loss: 0.7108 | Train: 100.00% | ★Test: 75.92% | [G-Gate_Avg: 0.632 / L-Gate_Avg: 0.368]
